exchange_id,exchange_name,met_id,formula,flux,lb,ub,direction
r_1761,ethanol exchange,s_0681,C2H6O,0.6999999999999993,0.0,1000.0,secretion
r_1672,carbon dioxide exchange,s_0458,CO2,0.6999999999999991,0.0,1000.0,secretion
r_1709,D-fructose exchange,s_0554,C6H12O6,-0.3499999999999999,-0.9731903944892223,0.0,uptake
r_4737,ethyl-pyruvate exchange,s_4281,C5H8O3,5.623445987683691e-16,0.0,1000.0,zero
r_2100,water exchange,s_0805,H2O,5.193659332642987e-16,-1000.0,1000.0,zero
r_1808,glycerol exchange,s_0766,C3H8O3,-3.4730910009533017e-16,0.0,1000.0,zero
r_4731,diethyl-succinate exchange,s_4275,C8H14O4,-2.7395043494669087e-16,0.0,1000.0,zero
r_1832,H+ exchange,s_0796,H,1.8275282808579578e-16,-1000.0,1000.0,zero
r_4708,hydrogen sulfide exchange,s_4263,HS,-1.6966434980084135e-16,0.0,1000.0,zero
r_1549,"(R,R)-2,3-butanediol exchange",s_0036,C4H10O2,-1.5543122344752186e-16,0.0,1000.0,zero
r_1989,oxaloacetate(2-) exchange,s_1272,C4H2O5,1.2632244516931403e-16,0.0,1000.0,zero
r_1580,2-methylbutanol exchange,s_0170,C5H12O,-1.201473775671836e-16,0.0,1000.0,zero
r_4645,ethyl octanoate exchange,s_4227,C10H20O2,-1.0132112453938499e-16,0.0,1000.0,zero
r_1727,decanoate exchange,s_0597,C10H19O2,1.0132112453938494e-16,0.0,1000.0,zero
r_4514,Gly-Met exchange,s_4085,C7H14N2O3S,8.835078265153011e-17,0.0,1000.0,zero
r_4497,3-oxalomalate(3-) exchange,s_4137,C6H3O8,8.201624216056044e-17,0.0,1000.0,zero
r_2055,stearate exchange,s_1450,C18H35O2,-5.2232586102536496e-17,0.0,1000.0,zero
r_2193,myristate exchange,s_1163,C14H27O2,5.112837458120297e-17,0.0,1000.0,zero
r_2091,urea exchange,s_1553,CH4N2O,3.830175144266305e-17,0.0,1000.0,zero
r_4550,L-Methionine S-oxide exchange,s_4176,C5H11NO3S,-1.4233126353319492e-17,0.0,1000.0,zero
r_4644,ethyl hexanoate exchange,s_4226,C8H16O2,3.1961421663951027e-18,0.0,1000.0,zero
r_2189,oleate exchange,s_2826,C18H33O2,-2.4800074996327314e-18,-1000.0,0.0,zero
r_2005,phosphate exchange,s_1324,HO4P,1.1298922654098248e-18,-1000.0,0.0,zero
r_1683,choline exchange,s_0513,C5H14NO,1.3869565404568739e-19,0.0,1000.0,zero
r_1814,glycolaldehyde exchange,s_0776,C2H4O2,-5.600835892717374e-32,0.0,1000.0,zero
r_4518,Met-Ala exchange,s_4143,C8H16N2O3S,2.144544939951436e-32,0.0,1000.0,zero
r_1542,(1->3)-beta-D-glucan exchange,s_0003,C6H10O5,0.0,0.0,1000.0,zero
r_1545,(R)-carnitine exchange,s_0022,C7H15NO3,0.0,0.0,1000.0,zero
r_1546,(R)-lactate exchange,s_0026,C3H5O3,0.0,0.0,1000.0,zero
r_1547,(R)-mevalonate exchange,s_0029,C6H11O4,0.0,0.0,1000.0,zero
r_1548,(R)-pantothenate exchange,s_0032,C9H16NO5,0.0,0.0,0.0,zero
r_1550,(S)-3-methyl-2-oxopentanoate exchange,s_0058,C6H9O3,0.0,0.0,1000.0,zero
r_1551,(S)-lactate exchange,s_0064,C3H5O3,0.0,0.0,1000.0,zero
r_1552,(S)-malate exchange,s_0067,C4H4O5,0.0,0.0,1000.0,zero
r_1553,1-(sn-glycero-3-phospho)-1D-myo-inositol exchange,s_0080,C9H18O11P,0.0,0.0,1000.0,zero
