t_h,X_gDW_L,N_gN_L,G_g_L,F_g_L,E_g_L,O2_g_L
0.000000000000000000e+00,5.000000000000000000e-01,1.400000000000000133e-01,1.100000000000000000e+02,1.100000000000000000e+02,0.000000000000000000e+00,8.000000000000000383e-04
8.000000000000000000e+00,7.984366468561560071e-01,1.127133593483658075e-01,1.078901950461605423e+02,1.089163995997031691e+02,1.165596364181367361e+00,7.104659204168593421e-04
1.600000000000000000e+01,1.265131046914486967e+00,7.006214783779571298e-02,1.045952047995889842e+02,1.072094337586722332e+02,2.992530434883772905e+00,5.704527752624015229e-04
2.400000000000000000e+01,1.959759111767084061e+00,6.670840094628635586e-03,9.957543311734045233e+01,1.045852967861062837e+02,5.728350987218441048e+00,3.620571740721614633e-04
3.200000000000000000e+01,2.395687889860135478e+00,0.000000000000000000e+00,9.289173777332828763e+01,1.013472124708582669e+02,7.742375099724982945e+00,2.881343443191070833e-04
4.000000000000000000e+01,2.395687889860113717e+00,0.000000000000000000e+00,8.561925916624637978e+01,9.798369572301906771e+01,8.360443409805716541e+00,2.881343443182704045e-04
4.800000000000000000e+01,2.395687889860098174e+00,0.000000000000000000e+00,7.847914343830294115e+01,9.451482594505000634e+01,8.978511719886462572e+00,2.881343443176605408e-04
5.600000000000000000e+01,2.395687889860084852e+00,0.000000000000000000e+00,7.147740188018275376e+01,9.093389260185566059e+01,9.596580029967208603e+00,2.881343443171357327e-04
6.400000000000000000e+01,2.395687889860066200e+00,0.000000000000000000e+00,6.462166950946070187e+01,8.723382367482085442e+01,1.021464834004793687e+01,2.881343443163996137e-04
7.200000000000000000e+01,2.395687889860050213e+00,0.000000000000000000e+00,5.792165407118188369e+01,8.340725014715221164e+01,1.083271665012866691e+01,2.881343443157906715e-04
