t_h,X_gDW_L,N_gN_L,G_g_L,F_g_L,E_g_L,O2_g_L
0.000000000000000000e+00,5.000000000000000000e-01,1.400000000000000133e-01,1.100000000000000000e+02,1.100000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,8.146647353490845678e-01,1.112772203667008464e-01,1.078901950461605423e+02,1.089163995997031691e+02,1.137599880800780117e+00,0.000000000000000000e+00
1.600000000000000000e+01,1.316037873351414422e+00,6.553280505135888889e-02,1.045276467058337033e+02,1.071749614878388144e+02,2.952313725538045830e+00,0.000000000000000000e+00
2.400000000000000000e+01,2.069490642024775173e+00,0.000000000000000000e+00,9.931272371376626040e+01,1.044529039789610891e+02,5.626632085738139999e+00,0.000000000000000000e+00
3.200000000000000000e+01,2.069490642024773841e+00,0.000000000000000000e+00,9.277099412712691162e+01,1.015502183798624998e+02,5.626632085738139999e+00,0.000000000000000000e+00
4.000000000000000000e+01,2.069490642024765403e+00,0.000000000000000000e+00,8.627375273793374788e+01,9.854423500322850771e+01,5.626632085738139999e+00,0.000000000000000000e+00
4.800000000000000000e+01,2.069490642024763627e+00,0.000000000000000000e+00,7.982652676493086119e+01,9.542817043548930656e+01,5.626632085738139999e+00,0.000000000000000000e+00
5.600000000000000000e+01,2.069490642024761407e+00,0.000000000000000000e+00,7.343590607576994955e+01,9.219470406178518829e+01,5.626632085738139999e+00,0.000000000000000000e+00
6.400000000000000000e+01,2.069490642024757854e+00,0.000000000000000000e+00,6.710982199892082178e+01,8.883596245600845975e+01,5.626632085738139999e+00,0.000000000000000000e+00
7.200000000000000000e+01,2.069490642024750748e+00,0.000000000000000000e+00,6.085791923839358475e+01,8.534352317735068993e+01,5.626632085738139999e+00,0.000000000000000000e+00
