t_h,X_gDW_L,N_gN_L,G_g_L,F_g_L,E_g_L,O2_g_L
0.000000000000000000e+00,5.000000000000000000e-01,1.400000000000000133e-01,1.100000000000000000e+02,1.100000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,8.146647353490892307e-01,1.112772203667008464e-01,1.082722680798371186e+02,1.089163995997031691e+02,1.227872617849457226e+00,0.000000000000000000e+00
1.600000000000000000e+01,1.316037873351424192e+00,6.553280505135863909e-02,1.055213354320608374e+02,1.071792215459019388e+02,3.188890293069108317e+00,0.000000000000000000e+00
2.400000000000000000e+01,2.069490642024776506e+00,0.000000000000000000e+00,1.014370235326021259e+02,1.044747305405158073e+02,6.159228753599961692e+00,0.000000000000000000e+00
3.200000000000000000e+01,2.069490642024776506e+00,0.000000000000000000e+00,1.014370235326021259e+02,1.034308033034228771e+02,6.693140783317217846e+00,0.000000000000000000e+00
4.000000000000000000e+01,2.069490642024776506e+00,0.000000000000000000e+00,1.014370235326021259e+02,1.023868760663299469e+02,7.227052813034473999e+00,0.000000000000000000e+00
4.800000000000000000e+01,2.069490642024776506e+00,0.000000000000000000e+00,1.014370235326021259e+02,1.013429488292370166e+02,7.760964842751730153e+00,0.000000000000000000e+00
5.600000000000000000e+01,2.069490642024776506e+00,0.000000000000000000e+00,1.014370235326021259e+02,1.002990215921440864e+02,8.294876872468986306e+00,0.000000000000000000e+00
6.400000000000000000e+01,2.069490642024776506e+00,0.000000000000000000e+00,1.014370235326021259e+02,9.925509435505115619e+01,8.828788902186241572e+00,0.000000000000000000e+00
7.200000000000000000e+01,2.069490642024776506e+00,0.000000000000000000e+00,1.014370235326021259e+02,9.821116711795822596e+01,9.362700931903496837e+00,0.000000000000000000e+00
