t_h,X_gDW_L,N_gN_L,G_g_L,F_g_L,E_g_L,O2_g_L
0.000000000000000000e+00,5.000000000000000000e-01,1.400000000000000133e-01,1.100000000000000000e+02,1.100000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,7.984366468561626684e-01,1.127133593483658075e-01,1.084197532898657386e+02,1.089163995997031691e+02,1.166057250819576785e+00,0.000000000000000000e+00
1.600000000000000000e+01,1.265131046914502289e+00,7.006214783779535216e-02,1.059497182282860592e+02,1.072127485301326146e+02,2.993747972617786246e+00,0.000000000000000000e+00
2.400000000000000000e+01,1.959759111767101158e+00,6.670840094627553118e-03,1.023113450061409253e+02,1.046020275604721519e+02,5.733634872160818574e+00,0.000000000000000000e+00
3.200000000000000000e+01,2.395687889860050657e+00,0.000000000000000000e+00,1.010237715369282085e+02,1.014060678263324462e+02,7.750136911496744219e+00,0.000000000000000000e+00
4.000000000000000000e+01,2.395687889860050657e+00,0.000000000000000000e+00,9.368912299882030936e+01,9.819691919702599137e+01,1.314271595968585871e+01,0.000000000000000000e+00
4.800000000000000000e+01,2.395687889860050657e+00,0.000000000000000000e+00,8.697629897914168851e+01,9.511534544572128880e+01,1.815201795694602893e+01,0.000000000000000000e+00
5.600000000000000000e+01,2.395687889860050657e+00,0.000000000000000000e+00,8.076463043150191368e+01,9.212883696226724339e+01,2.285638545869441529e+01,0.000000000000000000e+00
6.400000000000000000e+01,2.395687889860050657e+00,0.000000000000000000e+00,7.497041306033763419e+01,8.921469378101603809e+01,2.731023845997975741e+01,0.000000000000000000e+00
7.200000000000000000e+01,2.395687889860050657e+00,0.000000000000000000e+00,6.953294103507066382e+01,8.635629336165543180e+01,3.155312621863328815e+01,0.000000000000000000e+00
