t_h,X_gDW_L,Next_gN_L,G_g_L,F_g_L,E_g_L,O2_g_L,Prot_g_L,mu_h-1,v_ATPM,v_Prot,v_r_2111,v_r_4046,v_r_4047,v_r_1761,v_r_1808,v_r_1590,v_r_1863,v_r_1868,v_r_1106,v_r_2057
0.000000000000000000e+00,5.000000000000000000e-01,1.400000000000000133e-01,1.100000000000000000e+02,1.100000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000111e-01,7.866618383727339014e-02,6.999999999999999556e-01,7.866618383727337627e-02,7.866618383727339014e-02,6.999999999999999556e-01,7.866618383727337627e-02,7.102525151954607985e+00,1.452981110694795686e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.438390651163923603e-03
1.000000000000000000e+00,5.393330919186366534e-01,1.364096525458376175e-01,1.097709359260122710e+02,1.098645499499628926e+02,1.636066668752743924e-01,0.000000000000000000e+00,2.530663286860913574e-01,7.866618383727104480e-02,6.999999999999999556e-01,7.866618383727104480e-02,7.866618383727104480e-02,6.999999999999999556e-01,7.866618383727104480e-02,7.102525151954462324e+00,1.452981110694810118e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.438390651163689415e-03
2.000000000000000000e+00,5.817603680770319086e-01,1.325368661588063879e-01,1.095238522554697198e+02,1.097184445613888073e+02,3.400836458839590071e-01,0.000000000000000000e+00,3.128707038930690354e-01,7.866618383727104480e-02,6.999999999999999556e-01,7.866618383727104480e-02,7.866618383727104480e-02,6.999999999999999556e-01,7.866618383727104480e-02,7.102525151954462324e+00,1.452981110694810118e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.438390651163689415e-03
3.000000000000000000e+00,6.275252361414181967e-01,1.283594224458904920e-01,1.092573314554770718e+02,1.095608456194575240e+02,5.304433953663870716e-01,0.000000000000000000e+00,3.801192092282731916e-01,7.866618383727104480e-02,6.999999999999999556e-01,7.866618383727104480e-02,7.866618383727104480e-02,6.999999999999999556e-01,7.866618383727104480e-02,7.102525151954462324e+00,1.452981110694810118e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.438390651163689415e-03
4.000000000000000000e+00,6.768902517302459731e-01,1.238533551778844971e-01,1.089698444812357536e+02,1.093908489701877187e+02,7.357780198968166818e-01,0.000000000000000000e+00,4.555855603180476443e-01,7.866618383727104480e-02,6.999999999999999556e-01,7.866618383727104480e-02,7.866618383727104480e-02,6.999999999999999556e-01,7.866618383727104480e-02,7.102525151954462324e+00,1.452981110694810118e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.438390651163689415e-03
5.000000000000000000e+00,7.301386247105141614e-01,1.189928127937904395e-01,1.086597420038279438e+02,1.092074793332547387e+02,9.572655357487140915e-01,0.000000000000000000e+00,5.401172551367210417e-01,7.866618383727104480e-02,6.999999999999999556e-01,7.866618383727104480e-02,7.866618383727104480e-02,6.999999999999999556e-01,7.866618383727104480e-02,7.102525151954462324e+00,1.452981110694810118e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.438390651163689415e-03
6.000000000000000000e+00,7.875758439886837436e-01,1.137499100889603904e-01,1.083252449479239772e+02,1.090096847067526085e+02,1.196176629240277345e+00,0.000000000000000000e+00,6.346422651497909406e-01,7.866618383727104480e-02,6.999999999999999556e-01,7.866618383727104480e-02,7.866618383727104480e-02,6.999999999999999556e-01,7.866618383727104480e-02,7.102525151954462324e+00,1.452981110694810118e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.438390651163689415e-03
7.000000000000000000e+00,8.495314301176913885e-01,1.080945682361112437e-01,1.079644342851272398e+02,1.087963303318000499e+02,1.453881946733211361e+00,0.000000000000000000e+00,7.401763137284762539e-01,7.866618383727104480e-02,6.999999999999999556e-01,7.866618383727104480e-02,7.866618383727104480e-02,6.999999999999999556e-01,7.866618383727104480e-02,7.102525151954462324e+00,1.452981110694810118e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.438390651163689415e-03
8.000000000000000000e+00,9.163608257748694363e-01,1.019943422214032586e-01,1.075752400244004860e+02,1.085661921823649863e+02,1.731859958107886843e+00,0.000000000000000000e+00,8.578307922161274579e-01,7.866618383727104480e-02,6.999999999999999556e-01,7.866618383727104480e-02,7.866618383727104480e-02,6.999999999999999556e-01,7.866618383727104480e-02,7.102525151954462324e+00,1.452981110694810118e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.438390651163689415e-03
9.000000000000000000e+00,9.884474349565488538e-01,9.541423470557335029e-02,1.071554293364109895e+02,1.083179499429584922e+02,2.031705438828081522e+00,0.000000000000000000e+00,9.888213682773913105e-01,7.866618383727104480e-02,6.999999999999999556e-01,7.866618383727104480e-02,7.866618383727104480e-02,6.999999999999999556e-01,7.866618383727104480e-02,7.102525151954462324e+00,1.452981110694810118e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.438390651163689415e-03
