rxn_id,rxn_name,flux,lower_bound,upper_bound,active_bound,reduced_cost,abs_reduced_cost
r_0241,"C-4 sterol methyl oxidase (4,4-dimethylzymosterol)",0.0,0.0,1000.0,LB,-3.798632390135458,3.798632390135458
r_1625,5-formyltetrahydrofolic acid exchange,0.0,0.0,1000.0,LB,-2.2158688942456912,2.2158688942456912
r_0345,dihydrofolate reductase,0.0,0.0,1000.0,LB,-2.2158688942456912,2.2158688942456912
r_2043,S-adenosyl-L-methionine exchange,0.0,0.0,1000.0,LB,-1.8993161950677329,1.8993161950677329
r_1806,glutathione disulfide exchange,0.0,0.0,1000.0,LB,-1.8993161950677315,1.8993161950677315
r_0905,phosphopantothenate-cysteine ligase,0.0,0.0,1000.0,LB,-1.89931619506773,1.89931619506773
r_0317,cytochrome P450 lanosterol 14-alpha-demethylase (NADP),0.0,0.0,1000.0,LB,-1.8993161950677289,1.8993161950677289
r_1641,"adenosine 3',5'-bismonophosphate exchange",0.0,0.0,1000.0,LB,-1.5827634958897783,1.5827634958897783
r_1639,adenine exchange,0.0,0.0,1000.0,LB,-1.5827634958897783,1.5827634958897783
r_4548,AMP exchange,0.0,0.0,1000.0,LB,-1.582763495889778,1.582763495889778
r_4544,adenosine 2'-phosphate exchange,0.0,0.0,1000.0,LB,-1.5827634958897776,1.5827634958897776
r_4545,3'-AMP exchange,0.0,0.0,1000.0,LB,-1.5827634958897776,1.5827634958897776
r_1643,adenosine exchange,0.0,0.0,1000.0,LB,-1.5827634958897776,1.5827634958897776
r_4546,"2',3'-cyclic AMP exchange",0.0,0.0,1000.0,LB,-1.5827634958897776,1.5827634958897776
r_1616,5'-nucleotidase (dGMP),0.0,0.0,1000.0,LB,-1.5827634958897772,1.5827634958897772
r_4524,GMP exchange,0.0,0.0,1000.0,LB,-1.5827634958897772,1.5827634958897772
r_4540,"2',3'-cyclic GMP exchange",0.0,0.0,1000.0,LB,-1.582763495889777,1.582763495889777
r_1818,guanine exchange,0.0,0.0,1000.0,LB,-1.5827634958897767,1.5827634958897767
r_1820,guanosine exchange,0.0,0.0,1000.0,LB,-1.5827634958897767,1.5827634958897767
r_4536,3'-GMP exchange,0.0,0.0,1000.0,LB,-1.5827634958897767,1.5827634958897767
r_4534,guanosine 2'-monophosphate exchange,0.0,0.0,1000.0,LB,-1.5827634958897767,1.5827634958897767
r_1879,L-arginine exchange,-0.02563252269695435,-0.02563252269695435,0.0,LB,-1.2662107967118243,1.2662107967118243
r_4530,N(omega)-phospho-L-arginine exchange,0.0,0.0,1000.0,LB,-1.2662107967118243,1.2662107967118243
r_1648,allantoate exchange,0.0,0.0,1000.0,LB,-1.2662107967118243,1.2662107967118243
