t_h,ethyl_acetate_exchange_baseline_mg_L,ethyl_acetate_exchange_full_mg_L,isobutyl_acetate_exchange_baseline_mg_L,isobutyl_acetate_exchange_full_mg_L,isoamyl_acetate_exchange_baseline_mg_L,isoamyl_acetate_exchange_full_mg_L,phenethyl_acetate_exchange_baseline_mg_L,phenethyl_acetate_exchange_full_mg_L,hexyl_acetate_exchange_baseline_mg_L,hexyl_acetate_exchange_full_mg_L,benzyl_acetate_exchange_baseline_mg_L,benzyl_acetate_exchange_full_mg_L,total_baseline_mg_L,total_full_mg_L,total_delta_mg_L
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.030334056823861002,0.0,0.23352765989740584,0.0,0.0,0.0,0.8242159939689422,0.0,0.0,0.0,0.0,0.0,1.088077710690209,1.088077710690209
2.0,0.0,0.07024052614000802,0.0,0.2459288966681857,0.0,0.0,0.0,0.8242159939689422,0.0,0.0,0.0,0.0,0.0,1.140385416777136,1.140385416777136
3.0,0.0,0.11380153110920044,0.0,0.2459288966681857,0.0,0.0,0.0,1.1461968264551838,0.0,0.0,0.0,0.0,0.0,1.50592725423257,1.50592725423257
4.0,0.0,0.16132678100457978,0.0,0.2459288966681857,0.0,0.0,0.0,1.776107253166581,0.0,0.0,0.0,0.0,0.0,2.1833629308393463,2.1833629308393463
5.0,0.0,0.21312720029135113,0.0,0.3448497290067692,0.0,0.0,0.0,2.339354791569076,0.0,0.0,0.0,0.0,0.0,2.8973317208671965,2.8973317208671965
6.0,0.0,0.26950749232999593,0.0,0.3717505581059252,0.0,0.0,0.0,2.835913125384975,0.0,0.0,0.0,0.0,0.0,3.477171175820896,3.477171175820896
7.0,0.0,0.3308172696531648,0.0,0.3717505581059252,0.0,0.0,0.0,3.269708503699386,0.0,0.0,0.0,0.0,0.0,3.9722763314584757,3.9722763314584757
8.0,0.0,0.39722997837441704,0.0,0.3717505581059252,0.0,0.0,0.0,3.644509448939582,0.0,0.0,0.0,0.0,0.0,4.4134899854199245,4.4134899854199245
9.0,0.0,0.46876843358358633,0.0,0.3717505581059252,0.0,0.0,0.0,3.963902267872443,0.0,0.0,0.0,0.0,0.0,4.804421259561955,4.804421259561955
10.0,0.0,0.5458615710047313,0.0,0.3717505581059252,0.0,0.0,0.0,4.2317401508453605,0.0,0.0,0.0,0.0,0.0,5.149352279956017,5.149352279956017
11.0,0.0,0.6237269462238707,0.0,0.3717505581059252,0.0,0.0,0.0,4.458903459913509,0.0,0.0,0.0,0.0,0.0,5.454380964243305,5.454380964243305
12.0,0.0,0.7002981414934994,0.0,0.3717505581059252,0.0,0.0,0.0,4.656923191509532,0.0,0.0,0.0,0.0,0.0,5.728971891108957,5.728971891108957
13.0,0.0,0.7736877116809997,0.0,0.3747100072108173,0.0,0.0,0.0,4.920667420656111,0.0,0.0,0.0,0.0,0.0,6.069065139547928,6.069065139547928
14.0,0.0,0.8399322085296168,0.0,0.3747100072108173,0.0,0.0,0.0,5.09162194294189,0.0,0.0,0.0,0.0,0.0,6.306264158682324,6.306264158682324
15.0,0.0,0.8944286580404317,0.0,0.3747100072108173,0.0,0.0,0.0,5.271086263769909,0.0,0.0,0.0,0.0,0.0,6.540224929021159,6.540224929021159
16.0,0.0,0.9361274779697344,0.0,0.44238412931143223,0.0,0.0,0.0,5.469688026330118,0.0,0.0,0.0,0.0,0.0,6.848199633611285,6.848199633611285
17.0,0.0,0.9678758931509507,0.0,0.44238412931143223,0.0,0.0,0.0,5.863117644190299,0.0,0.0,0.0,0.0,0.0,7.273377666652682,7.273377666652682
18.0,0.0,0.9955878574579682,0.0,0.44830197354801593,0.0,0.0,0.0,6.140192508613348,0.0,0.0,0.0,0.0,0.0,7.584082339619332,7.584082339619332
19.0,0.0,1.0228391166165318,0.0,0.44830197354801593,0.0,0.0,0.0,6.140192508613348,0.0,0.0,0.0,0.0,0.0,7.611333598777895,7.611333598777895
20.0,0.0,1.0480399285908821,0.0,0.44830197354801593,0.0,0.016107972681398484,0.0,6.306870138353717,0.0,0.0,0.0,0.0,0.0,7.819320013174013,7.819320013174013
21.0,0.0,1.0719788080716182,0.0,0.4559294780026067,0.0,0.05171592472367796,0.0,6.459728128640667,0.0,0.0,0.0,0.0,0.0,8.03935233943857,8.03935233943857
22.0,0.0,1.0951865269503847,0.0,0.4610009578051752,0.0,0.08504085359379016,0.0,6.59987123658363,0.0,0.0,0.0,0.0,0.0,8.24109957493298,8.24109957493298
