t_h,ethyl_acetate_exchange_baseline_mg_L,ethyl_acetate_exchange_constrained_mg_L,ethyl_acetate_exchange_delta_mg_L,isobutyl_acetate_exchange_baseline_mg_L,isobutyl_acetate_exchange_constrained_mg_L,isobutyl_acetate_exchange_delta_mg_L,isoamyl_acetate_exchange_baseline_mg_L,isoamyl_acetate_exchange_constrained_mg_L,isoamyl_acetate_exchange_delta_mg_L,phenethyl_acetate_exchange_baseline_mg_L,phenethyl_acetate_exchange_constrained_mg_L,phenethyl_acetate_exchange_delta_mg_L,hexyl_acetate_exchange_baseline_mg_L,hexyl_acetate_exchange_constrained_mg_L,hexyl_acetate_exchange_delta_mg_L,benzyl_acetate_exchange_baseline_mg_L,benzyl_acetate_exchange_constrained_mg_L,benzyl_acetate_exchange_delta_mg_L,total_acetate_esters_baseline_mg_L,total_acetate_esters_constrained_mg_L,total_acetate_esters_delta_mg_L
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,1.8543049827332538,1.8543049827332538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8543049827332538,1.8543049827332538
2.0,0.0,8.994586770293283,8.994586770293283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.994586770293283,8.994586770293283
3.0,0.0,16.811431874345633,16.811431874345633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.811431874345633,16.811431874345633
4.0,0.0,25.356085416748947,25.356085416748947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.356085416748947,25.356085416748947
5.0,0.0,34.68302914770399,34.68302914770399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.68302914770399,34.68302914770399
6.0,0.0,44.809789381956605,44.809789381956605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.809789381956605,44.809789381956605
7.0,0.0,55.77938206935777,55.77938206935777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.77938206935777,55.77938206935777
8.0,0.0,67.62957915676017,67.62957915676017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.62957915676017,67.62957915676017
9.0,0.0,80.3978220474925,80.3978220474925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.3978220474925,80.3978220474925
10.0,0.0,94.1063089354159,94.1063089354159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.1063089354159,94.1063089354159
11.0,0.0,108.75354695468205,108.75354695468205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.75354695468205,108.75354695468205
12.0,0.0,122.55870538739059,122.55870538739059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.55870538739059,122.55870538739059
13.0,0.0,135.79686140211746,135.79686140211746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.79686140211746,135.79686140211746
14.0,0.0,147.74040907014182,147.74040907014182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.74040907014182,147.74040907014182
15.0,0.0,157.55872552629637,157.55872552629637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.55872552629637,157.55872552629637
16.0,0.0,175.039887314392,175.039887314392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.039887314392,175.039887314392
17.0,0.0,189.4163471066424,189.4163471066424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.4163471066424,189.4163471066424
18.0,0.0,201.26153762159183,201.26153762159183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.26153762159183,201.26153762159183
19.0,0.0,212.64029263634822,212.64029263634822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.64029263634822,212.64029263634822
20.0,0.0,223.49510788456985,223.49510788456985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.49510788456985,223.49510788456985
21.0,0.0,233.81573491093465,233.81573491093465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.81573491093465,233.81573491093465
22.0,0.0,243.93597739147782,243.93597739147782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.93597739147782,243.93597739147782
23.0,0.0,253.5857738354045,253.5857738354045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.5857738354045,253.5857738354045
24.0,0.0,263.0234875148775,263.0234875148775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.0234875148775,263.0234875148775
25.0,0.0,272.2517681515064,272.2517681515064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.2517681515064,272.2517681515064
26.0,0.0,281.26375451996375,281.26375451996375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.26375451996375,281.26375451996375
27.0,0.0,290.07978243206014,290.07978243206014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.07978243206014,290.07978243206014
28.0,0.0,298.6295576980857,298.6295576980857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.6295576980857,298.6295576980857
29.0,0.0,306.8224221661116,306.8224221661116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.8224221661116,306.8224221661116
30.0,0.0,315.3130726273977,315.3130726273977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.3130726273977,315.3130726273977
31.0,0.0,323.5907589421908,323.5907589421908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.5907589421908,323.5907589421908
32.0,0.0,331.69331363499634,331.69331363499634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.69331363499634,331.69331363499634
33.0,0.0,339.63970551150055,339.63970551150055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.63970551150055,339.63970551150055
