scenario,fase,t_h,fraction_of_optimum,rid,label,flux_ref,minimum,maximum,range
baseline,lag,0.0,1.0,r_1765,ethyl acetate exchange,0.0,0.0,-2.3184523649260685e-13,-2.3184523649260685e-13
baseline,lag,0.0,1.0,r_1867,isobutyl acetate exchange,0.0,0.0,-6.007981411332991e-14,-6.007981411332991e-14
baseline,lag,0.0,1.0,r_1862,isoamyl acetate exchange,0.0,0.0,-4.015394958942496e-14,-4.015394958942496e-14
baseline,lag,0.0,1.0,r_2000,phenethyl acetate exchange,0.0,0.0,-2.5685340652648986e-14,-2.5685340652648986e-14
baseline,lag,0.0,1.0,r_4647,hexyl acetate exchange,0.0,0.0,0.0,0.0
baseline,lag,0.0,1.0,r_4739,benzyl-acetate exchange,0.0,0.0,0.0,0.0
constrained,lag,0.0,1.0,r_1765,ethyl acetate exchange,0.042226745763842416,0.0422267457638819,0.042226745763684584,-1.9731438705150595e-13
constrained,lag,0.0,1.0,r_1867,isobutyl acetate exchange,0.0,0.0,-3.6454832905832196e-14,-3.6454832905832196e-14
constrained,lag,0.0,1.0,r_1862,isoamyl acetate exchange,0.0,0.0,-6.568078797926551e-13,-6.568078797926551e-13
constrained,lag,0.0,1.0,r_2000,phenethyl acetate exchange,0.0,0.0,-4.19624340421609e-14,-4.19624340421609e-14
constrained,lag,0.0,1.0,r_4647,hexyl acetate exchange,0.0,0.0,0.0,0.0
constrained,lag,0.0,1.0,r_4739,benzyl-acetate exchange,0.0,0.0,0.0,0.0
baseline,lag,0.0,0.99,r_1765,ethyl acetate exchange,0.0,0.0,0.3915712018112815,0.3915712018112815
baseline,lag,0.0,0.99,r_1867,isobutyl acetate exchange,0.0,0.0,0.07831424036227126,0.07831424036227126
baseline,lag,0.0,0.99,r_1862,isoamyl acetate exchange,0.0,0.0,0.05290772069856466,0.05290772069856466
baseline,lag,0.0,0.99,r_2000,phenethyl acetate exchange,0.0,0.0,0.07831424036223894,0.07831424036223894
baseline,lag,0.0,0.99,r_4647,hexyl acetate exchange,0.0,0.0,0.0,0.0
baseline,lag,0.0,0.99,r_4739,benzyl-acetate exchange,0.0,0.0,0.0,0.0
constrained,lag,0.0,0.99,r_1765,ethyl acetate exchange,0.042226745763842416,0.0,0.43337568011755506,0.43337568011755506
constrained,lag,0.0,0.99,r_1867,isobutyl acetate exchange,0.0,0.0,0.08535773766561214,0.08535773766561214
constrained,lag,0.0,0.99,r_1862,isoamyl acetate exchange,0.0,0.0,0.05848089817651858,0.05848089817651858
constrained,lag,0.0,0.99,r_2000,phenethyl acetate exchange,0.0,0.0,0.0866751360235112,0.0866751360235112
constrained,lag,0.0,0.99,r_4647,hexyl acetate exchange,0.0,0.0,0.0,0.0
constrained,lag,0.0,0.99,r_4739,benzyl-acetate exchange,0.0,0.0,0.0,0.0
baseline,exponencial,0.0,1.0,r_1765,ethyl acetate exchange,0.0,0.0,-2.3184523649260685e-13,-2.3184523649260685e-13
baseline,exponencial,0.0,1.0,r_1867,isobutyl acetate exchange,0.0,0.0,-6.007981411332991e-14,-6.007981411332991e-14
baseline,exponencial,0.0,1.0,r_1862,isoamyl acetate exchange,0.0,0.0,-4.015394958942496e-14,-4.015394958942496e-14
baseline,exponencial,0.0,1.0,r_2000,phenethyl acetate exchange,0.0,0.0,-4.636904729852141e-14,-4.636904729852141e-14
baseline,exponencial,0.0,1.0,r_4647,hexyl acetate exchange,0.0,0.0,0.0,0.0
baseline,exponencial,0.0,1.0,r_4739,benzyl-acetate exchange,0.0,0.0,0.0,0.0
constrained,exponencial,0.0,1.0,r_1765,ethyl acetate exchange,0.042226745763842416,0.0422267457638819,0.042226745763684584,-1.9731438705150595e-13
constrained,exponencial,0.0,1.0,r_1867,isobutyl acetate exchange,0.0,0.0,-3.6454832905832196e-14,-3.6454832905832196e-14
constrained,exponencial,0.0,1.0,r_1862,isoamyl acetate exchange,0.0,0.0,-3.934510991958248e-14,-3.934510991958248e-14
constrained,exponencial,0.0,1.0,r_2000,phenethyl acetate exchange,0.0,0.0,-8.258708385751007e-14,-8.258708385751007e-14
constrained,exponencial,0.0,1.0,r_4647,hexyl acetate exchange,0.0,0.0,0.0,0.0
constrained,exponencial,0.0,1.0,r_4739,benzyl-acetate exchange,0.0,0.0,0.0,0.0
baseline,exponencial,0.0,0.99,r_1765,ethyl acetate exchange,0.0,0.0,0.3915712018112815,0.3915712018112815
