t_h,fase,mode,objective_id,objective_value_baseline,objective_value_constrained,mu_h_inv_baseline,mu_h_inv_constrained,v_ATPM_baseline,v_ATPM_constrained,ester_total_baseline,ester_total_constrained,higher_alcohol_total_baseline,higher_alcohol_total_constrained,proxy_score,phi_ester,constraint_active,constraint_binding,lhs_margin,delta_objective_vs_baseline,delta_mu_vs_baseline,delta_ester_total_vs_baseline,proxy_turnover,proxy_n_limited,proxy_low_growth,proxy_anaerobic,proxy_alcohol_present,N_gN_L,E_g_L,O2_g_L,X_gDW_L,ester_r_1765_baseline,ester_r_1765_constrained,ester_r_1765_delta,ester_r_1867_baseline,ester_r_1867_constrained,ester_r_1867_delta,ester_r_1862_baseline,ester_r_1862_constrained,ester_r_1862_delta,ester_r_2000_baseline,ester_r_2000_constrained,ester_r_2000_delta,ester_r_4647_baseline,ester_r_4647_constrained,ester_r_4647_delta,ester_r_4739_baseline,ester_r_4739_constrained,ester_r_4739_delta,alcohol_r_1761_baseline,alcohol_r_1761_constrained,alcohol_r_1761_delta,alcohol_r_1866_baseline,alcohol_r_1866_constrained,alcohol_r_1866_delta,alcohol_r_1862_baseline,alcohol_r_1862_constrained,alcohol_r_1862_delta,alcohol_r_1589_baseline,alcohol_r_1589_constrained,alcohol_r_1589_delta
0.0,exponencial,BIOMASS,r_2111,0.15909441715178477,0.15892285092131656,0.15909441715178477,0.15892285092131656,0.7,0.7,0.0,0.042226745763842416,7.136053858400919,7.037790960640404,0.05,0.006,True,True,-6.938893903907228e-18,-0.00017156623046821196,-0.00017156623046821196,0.042226745763842416,0.0,0.0,0.0,0.0,1.0,0.14,0.0,0.008,0.5,0.0,0.042226745763842416,0.042226745763842416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.919674188388856,6.821274343928308,-0.09839984446054828,0.08092957314735856,0.08104013164361178,0.00011055849625321579,0.0,0.0,0.0,0.1354500968647046,0.13547648506848464,2.63882037800367e-05
1.0,,BIOMASS,r_2111,0.0970085234832814,0.09185919854826251,0.0970085234832814,0.09185919854826251,0.7,0.7,0.0,0.14014656469695924,8.031930431433443,7.78592026094218,0.15000000000000002,0.018000000000000002,True,True,0.0,-0.0051493249350188924,-0.0051493249350188924,0.14014656469695924,0.0,0.0,0.0,1.0,1.0,0.1327201487791052,0.15869283907794696,0.0,0.5794676613673171,0.0,0.14014656469695924,0.14014656469695924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.890597704776188,7.581945955065811,-0.30865174971037757,0.029303729790293404,0.0911533032904268,0.0618495735001334,0.0,0.0,0.0,0.11202899686696176,0.11282100258594258,0.0007920057189808177
2.0,,BIOMASS,r_2111,0.09660677631194493,0.09129028455105107,0.09660677631194493,0.09129028455105107,0.7,0.7,0.0,0.14006061516574042,8.011188127612293,7.781145286985577,0.15000000000000002,0.018000000000000002,True,True,2.7755575615628914e-17,-0.005316491760893868,-0.005316491760893868,0.14006061516574042,0.0,0.0,0.0,1.0,1.0,0.12685443041418992,0.36807126023565784,0.0,0.6356247503006344,0.0,0.14006061516574042,0.14006061516574042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.861144660074802,7.613792225698185,-0.24735243437661758,0.0584273070290224,0.07491918351837623,0.01649187648935383,0.0,0.0,0.0,0.0916161605084672,0.09243387776901635,0.0008177172605491473
3.0,,BIOMASS,r_2111,0.09613648330370475,0.09066840944604491,0.09613648330370475,0.09066840944604491,0.7,0.7,0.0,0.13979613063798105,7.953507449869333,7.766451702110051,0.15000000000000002,0.018000000000000002,True,True,1.1102230246251565e-16,-0.005468073857659836,-0.005468073857659836,0.13979613063798105,0.0,0.0,0.0,1.0,1.0,0.12051722026239414,0.5968847243860815,0.0,0.6969690027131927,0.0,0.13979613063798105,0.13979613063798105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.825078536779027,7.633658091676332,-0.19142044510269507,0.05388018109628897,0.0574038466886025,0.0035236655923135338,0.0,0.0,0.0,0.07454873199401765,0.07538976374511655,0.0008410317510988974
4.0,,BIOMASS,r_2111,0.09529036262149837,0.0900028880457333,0.09529036262149837,0.0900028880457333,0.7,0.7,0.0,0.13938344041580186,7.875834301074008,7.7435244675445425,0.15000000000000002,0.018000000000000002,True,True,8.326672684688674e-17,-0.005287474575765075,-0.005287474575765075,0.13938344041580186,0.0,0.0,0.0,1.0,1.0,0.11397266592865327,0.8475242814703889,0.0,0.7639061474568368,0.0,0.13938344041580186,0.13938344041580186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.776146592155195,7.639616218297456,-0.13653037385773903,0.03935740593587828,0.04276469206951223,0.0034072861336339466,0.0,0.0,0.0,0.06033030298293431,0.061143557177575004,0.0008132541946406918
5.0,,BIOMASS,r_2111,0.09419729108584841,0.08902852115974366,0.09419729108584841,0.08902852115974366,0.7,0.7,0.0,0.13841794825395765,7.814526392516249,7.689886014108758,0.15000000000000002,0.018000000000000002,True,True,-2.7755575615628914e-17,-0.005168769926104752,-0.005168769926104752,0.13841794825395765,0.0,0.0,0.0,1.0,1.0,0.10739362545021325,1.1215457568065204,0.0,0.8366262483629908,0.0,0.13841794825395765,0.13841794825395765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.738628292945694,7.609862126015137,-0.1287661669305571,0.027395070181613405,0.03072586219674339,0.003330792015129983,0.0,0.0,0.0,0.04850302938894084,0.04929802589687751,0.0007949965079366711
6.0,,BIOMASS,r_2111,0.09306192709837796,0.08793588770259667,0.09306192709837796,0.08793588770259667,0.7,0.7,0.0,0.1372372215832231,7.748028019973661,7.624290087956837,0.15000000000000002,0.018000000000000002,True,True,2.7755575615628914e-17,-0.0051260393957812955,-0.0051260393957812955,0.1372372215832231,0.0,0.0,0.0,1.0,1.0,0.10027106781427816,1.4202021930827347,0.0,0.9153553666838538,0.0,0.1372372215832231,0.1372372215832231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6919534586839795,7.5641238462847324,-0.12782961239924706,0.01742062098049873,0.02072387713869598,0.0033032561581972514,0.0,0.0,0.0,0.038653940309182434,0.039442364533408436,0.0007884242242260017
7.0,,BIOMASS,r_2111,0.09183637452054359,0.08675722032447594,0.09183637452054359,0.08675722032447594,0.7,0.7,0.0,0.1359189070555055,7.673749468786984,7.551050391972527,0.15000000000000002,0.018000000000000002,True,True,-2.7755575615628914e-17,-0.005079154196067651,-0.005079154196067651,0.1359189070555055,0.0,0.0,0.0,1.0,1.0,0.09257477163574815,1.7449897677409005,0.0,1.0004549163528915,0.0,0.1359189070555055,0.1359189070555055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.634195034419007,7.5074417016812625,-0.1267533327377448,0.009094431146297372,0.012367474149127521,0.003273043002830149,0.0,0.0,0.0,0.030460003221679858,0.031241216142137464,0.0007812129204576058
8.0,,BIOMASS,r_2111,0.0904549548957075,0.08542894249590001,0.0904549548957075,0.08542894249590001,0.7,0.7,0.0,0.13439688601332653,7.587964891209416,7.466493667407028,0.15000000000000002,0.018000000000000002,True,True,0.0,-0.005026012399807489,-0.005026012399807489,0.13439688601332653,0.0,0.0,0.0,1.0,1.0,0.08427992135180686,2.097304365200419,0.0,1.0922411905896048,0.0,0.13439688601332653,0.13439688601332653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.562175120288211,7.436692059129475,-0.12548306115873586,0.002131073621094183,0.0053698716733493685,0.0032387980522551856,0.0,0.0,0.0,0.023658697300110536,0.02443173660420362,0.0007730393040930837
9.0,,BIOMASS,r_2111,0.08864383395314786,0.08384175823079208,0.08864383395314786,0.08384175823079208,0.7,0.7,0.0,0.13256039491787303,7.49194887928144,7.36446638432628,0.15000000000000002,0.018000000000000002,True,True,-2.7755575615628914e-17,-0.004802075722355775,-0.004802075722355775,0.13256039491787303,0.0,0.0,0.0,1.0,1.0,0.07537198281031175,2.4783105483079706,0.0,1.1909410195919914,0.0,0.13256039491787303,0.13256039491787303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.473881972623471,7.345660881544919,-0.12822109107855173,0.0,0.0,0.0,0.0,0.0,0.0,0.018066906657969627,0.01880550278136053,0.0007385961233909027
