t_h,mode,ester_rid,ester_label,alcohol_rid,alcohol_name,phi_pair,v_alcohol_baseline,v_alcohol_pairwise,v_ester_baseline,v_ester_pairwise,ratio_baseline,ratio_pairwise,lhs_margin,binding
0.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.08092957314735856,0.07511660179761237,0.0,0.006009328143808993,0.0,0.08000000000000004,0.0,True
0.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
0.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.1354500968647046,0.11237483266556031,0.0,0.008989986613244835,0.0,0.0800000000000001,0.0,True
1.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.029303729790293404,0.0,0.0,0.0,0.0,,0.0,True
1.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
1.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.11202899686696176,0.018920646228791648,0.0,0.0015136516983032867,0.0,0.07999999999999761,0.0,True
2.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.0584273070290224,0.0,0.0,0.0,0.0,,0.0,True
2.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
2.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.0916161605084672,0.054523656087963605,0.0,0.004361892487036986,0.0,0.07999999999999813,0.0,True
3.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.05388018109628897,0.02712699522295832,0.0,0.002170159617836464,0.0,0.07999999999999256,0.0,True
3.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
3.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.07454873199401765,0.05783776964329323,0.0,0.0046270215714636085,0.0,0.0800000000000026,0.0,True
4.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.03935740593587828,0.036604637499049984,0.0,0.002928370999924001,0.0,0.08000000000000006,0.0,True
4.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
4.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.06033030298293431,0.055900199967162,0.0,0.0044720159973729605,0.0,0.08,0.0,True
5.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.027395070181613405,0.025489598807537754,0.0,0.0020391679046030202,0.0,0.08,0.0,True
5.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
5.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.04850302938894084,0.04493975944450573,0.0,0.0035951807555604605,0.0,0.08000000000000006,0.0,True
6.0,BIOMASS,r_1867,isobutyl acetate exchange,r_1866,isobutanol exchange,0.08,0.01742062098049873,0.016221663711667954,0.0,0.0012977330969334362,0.0,0.07999999999999999,0.0,True
6.0,BIOMASS,r_1862,isoamyl acetate exchange,r_1865,isoamylol exchange,0.08,0.0,0.0,0.0,0.0,,,0.0,True
6.0,BIOMASS,r_2000,phenethyl acetate exchange,r_1589,2-phenylethanol exchange,0.08,0.038653940309182434,0.035812515013767574,0.0,0.002865001201101406,0.0,0.08000000000000002,0.0,True
