t_h,mode,objective_id,objective_value_baseline,objective_value_pairwise,delta_objective,mu_h_inv_baseline,mu_h_inv_pairwise,delta_mu,n_constraints_active,n_constraints_binding,N_gN_L,E_g_L,O2_g_L,X_gDW_L,ester_r_1765_baseline,ester_r_1765_pairwise,ester_r_1765_delta,ester_r_1867_baseline,ester_r_1867_pairwise,ester_r_1867_delta,ester_r_1862_baseline,ester_r_1862_pairwise,ester_r_1862_delta,ester_r_2000_baseline,ester_r_2000_pairwise,ester_r_2000_delta,ester_r_4647_baseline,ester_r_4647_pairwise,ester_r_4647_delta,ester_r_4739_baseline,ester_r_4739_pairwise,ester_r_4739_delta,alcohol_r_1866_baseline,alcohol_r_1866_pairwise,alcohol_r_1866_delta,alcohol_r_1865_baseline,alcohol_r_1865_pairwise,alcohol_r_1865_delta,alcohol_r_1589_baseline,alcohol_r_1589_pairwise,alcohol_r_1589_delta,binding_r_1867__r_1866,lhs_r_1867__r_1866,binding_r_1862__r_1865,lhs_r_1862__r_1865,binding_r_2000__r_1589,lhs_r_2000__r_1589
0.0,BIOMASS,r_2111,0.15909441715178477,0.1587897079152644,-0.00030470923652037296,0.15909441715178477,0.1587897079152644,-0.00030470923652037296,3,3,0.14,0.0,0.008,0.5,0.0,0.0,0.0,0.0,0.006009328143808993,0.006009328143808993,0.0,0.0,0.0,0.0,0.008989986613244835,0.008989986613244835,0.0,0.0,0.0,0.0,0.0,0.0,0.08092957314735856,0.07511660179761237,-0.0058129713497461905,0.0,0.0,0.0,0.1354500968647046,0.11237483266556031,-0.023075264199144296,True,0.0,True,0.0,True,0.0
1.0,BIOMASS,r_2111,0.0970085234832814,0.09682452804687788,-0.0001839954364035168,0.0970085234832814,0.09682452804687788,-0.0001839954364035168,3,3,0.1327201487791052,0.15869283907794696,0.0,0.5794676613673171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015136516983032867,0.0015136516983032867,0.0,0.0,0.0,0.0,0.0,0.0,0.029303729790293404,0.0,-0.029303729790293404,0.0,0.0,0.0,0.11202899686696176,0.018920646228791648,-0.0931083506381701,True,0.0,True,0.0,True,0.0
2.0,BIOMASS,r_2111,0.09660677631194493,0.09631161347744718,-0.00029516283449775027,0.09660677631194493,0.09631161347744718,-0.00029516283449775027,3,3,0.12685443041418992,0.36807126023565784,0.0,0.6356247503006344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004361892487036986,0.004361892487036986,0.0,0.0,0.0,0.0,0.0,0.0,0.0584273070290224,0.0,-0.0584273070290224,0.0,0.0,0.0,0.0916161605084672,0.054523656087963605,-0.037092504420503596,True,0.0,True,0.0,True,0.0
3.0,BIOMASS,r_2111,0.09613648330370475,0.09577235409091782,-0.00036412921278693167,0.09613648330370475,0.09577235409091782,-0.00036412921278693167,3,3,0.12051722026239414,0.5968847243860815,0.0,0.6969690027131927,0.0,0.0,0.0,0.0,0.002170159617836464,0.002170159617836464,0.0,0.0,0.0,0.0,0.0046270215714636085,0.0046270215714636085,0.0,0.0,0.0,0.0,0.0,0.0,0.05388018109628897,0.02712699522295832,-0.02675318587333065,0.0,0.0,0.0,0.07454873199401765,0.05783776964329323,-0.016710962350724425,True,0.0,True,0.0,True,0.0
4.0,BIOMASS,r_2111,0.09529036262149837,0.09501786009268441,-0.00027250252881395876,0.09529036262149837,0.09501786009268441,-0.00027250252881395876,3,3,0.11397266592865327,0.8475242814703889,0.0,0.7639061474568368,0.0,0.0,0.0,0.0,0.002928370999924001,0.002928370999924001,0.0,0.0,0.0,0.0,0.0044720159973729605,0.0044720159973729605,0.0,0.0,0.0,0.0,0.0,0.0,0.03935740593587828,0.036604637499049984,-0.0027527684368282984,0.0,0.0,0.0,0.06033030298293431,0.055900199967162,-0.004430103015772312,True,0.0,True,0.0,True,0.0
5.0,BIOMASS,r_2111,0.09419729108584841,0.09398981892815278,-0.00020747215769563454,0.09419729108584841,0.09398981892815278,-0.00020747215769563454,3,3,0.10739362545021325,1.1215457568065204,0.0,0.8366262483629908,0.0,0.0,0.0,0.0,0.0020391679046030202,0.0020391679046030202,0.0,0.0,0.0,0.0,0.0035951807555604605,0.0035951807555604605,0.0,0.0,0.0,0.0,0.0,0.0,0.027395070181613405,0.025489598807537754,-0.0019054713740756513,0.0,0.0,0.0,0.04850302938894084,0.04493975944450573,-0.0035632699444351143,True,0.0,True,0.0,True,0.0
6.0,BIOMASS,r_2111,0.09306192709837796,0.09290864537817334,-0.00015328172020462327,0.09306192709837796,0.09290864537817334,-0.00015328172020462327,3,3,0.10027106781427816,1.4202021930827347,0.0,0.9153553666838538,0.0,0.0,0.0,0.0,0.0012977330969334362,0.0012977330969334362,0.0,0.0,0.0,0.0,0.002865001201101406,0.002865001201101406,0.0,0.0,0.0,0.0,0.0,0.0,0.01742062098049873,0.016221663711667954,-0.0011989572688307741,0.0,0.0,0.0,0.038653940309182434,0.035812515013767574,-0.002841425295414861,True,0.0,True,0.0,True,0.0
7.0,BIOMASS,r_2111,0.09183637452054359,0.09172825002347144,-0.00010812449707214844,0.09183637452054359,0.09172825002347144,-0.00010812449707214844,3,3,0.09257477163574815,1.7449897677409005,0.0,1.0004549163528915,0.0,0.0,0.0,0.0,0.0006788227658816727,0.0006788227658816727,0.0,0.0,0.0,0.0,0.0022575284147900803,0.0022575284147900803,0.0,0.0,0.0,0.0,0.0,0.0,0.009094431146297372,0.008485284573520907,-0.0006091465727764648,0.0,0.0,0.0,0.030460003221679858,0.028219105184875998,-0.00224089803680386,True,0.0,True,0.0,True,0.0
8.0,BIOMASS,r_2111,0.0904549548957075,0.09038445695900348,-7.04979367040226e-05,0.0904549548957075,0.09038445695900348,-7.04979367040226e-05,3,3,0.08427992135180686,2.097304365200419,0.0,1.0922411905896048,0.0,0.0,0.0,0.0,0.00016122244383117302,0.00016122244383117302,0.0,0.0,0.0,0.0,0.0017532992906785854,0.0017532992906785854,0.0,0.0,0.0,0.0,0.0,0.0,0.002131073621094183,0.0020152805478896706,-0.00011579307320451222,0.0,0.0,0.0,0.023658697300110536,0.021916241133482315,-0.0017424561666282215,True,0.0,True,0.0,True,0.0
9.0,BIOMASS,r_2111,0.08864383395314786,0.08859816441157665,-4.566954157120273e-05,0.08864383395314786,0.08859816441157665,-4.566954157120273e-05,3,3,0.07537198281031175,2.4783105483079706,0.0,1.1909410195919914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013388097025318682,0.0013388097025318682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018066906657969627,0.01673512128164835,-0.0013317853763212782,True,0.0,True,0.0,True,0.0
