state_idx,fe,cp,value
0,0,0,0.05081990378422405
0,0,1,0.05945263961179712
0,0,2,0.06548534681112612
0,1,0,0.0719705479881999
0,1,1,0.08269032552713777
0,1,2,0.09000343429263204
0,2,0,0.0970207397995133
0,2,1,0.10342161281853157
0,2,2,0.09869444933689497
0,3,0,0.09161886786036827
0,3,1,0.046541450949178144
0,3,2,0.02167254496382147
0,4,0,0.04974078796926525
0,4,1,0.018945202290470697
0,4,2,0.01679083219539066
0,5,0,0.02557535997236317
0,5,1,0.014713090914023069
0,5,2,0.013113039721363543
0,6,0,0.01605338448101992
0,6,1,0.011621295078472073
0,6,2,0.010440289911502951
0,7,0,0.011660435617702462
0,7,1,0.009372922923823902
0,7,2,0.00850671401803549
0,8,0,0.009068604234729006
0,8,1,0.007737290933878549
0,8,2,0.007104084518404963
0,9,0,0.007387686454345847
0,9,1,0.006547960781537503
0,9,2,0.006086166848083929
0,10,0,0.006240906117772725
0,10,1,0.005684392410703397
0,10,2,0.005348366212558863
0,11,0,0.005438972308051418
0,11,1,0.005058832756365236
0,11,2,0.0048149746027463195
0,12,0,0.0048715057076126585
0,12,1,0.004607220876341586
0,12,2,0.004430855826578846
0,13,0,0.004468166203789511
0,13,1,0.004282782066526747
0,13,2,0.0
0,14,0,0.0
0,14,1,0.0
0,14,2,0.0
0,15,0,0.0
0,15,1,0.0
0,15,2,0.0
0,16,0,0.0
0,16,1,0.0
0,16,2,0.0
0,17,0,0.0
0,17,1,0.0
0,17,2,0.0
1,0,0,-0.0016145402694254015
1,0,1,-0.0024441037684359962
1,0,2,-0.0026957160477093065
1,1,0,-0.0032423670089307584
1,1,1,-0.004707124148340304
1,1,2,-0.005726850359754703
1,2,0,-0.006115433963265338
1,2,1,-0.006556272939734947
1,2,2,-0.00642542594892026
1,3,0,-0.0058764508660349105
1,3,1,-0.002040326170467342
1,3,2,-0.0
1,4,0,-0.00259106573206606
1,4,1,-0.0
1,4,2,-0.0
