state_idx,fe,cp,value
0,0,0,0.05086754923459703
0,0,1,0.059491755803743565
0,0,2,0.06553437773371192
0,1,0,0.07207074119503368
0,1,1,0.08279772576985905
0,1,2,0.0901120358583761
0,2,0,0.09707959605728411
0,2,1,0.1045362883946933
0,2,2,0.09932921188929447
0,3,0,0.09227209564572236
0,3,1,0.04552363088876655
0,3,2,0.022559257059589045
0,4,0,0.05102775866546366
0,4,1,0.019702929593808368
0,4,2,0.017445133260592143
0,5,0,0.02635102210416592
0,5,1,0.015274735705951266
0,5,2,0.013598877273573949
0,6,0,0.016573317512399263
0,6,1,0.012039234000773934
0,6,2,0.010802649394252305
0,7,0,0.012038043316786722
0,7,1,0.0096859651494163
0,7,2,0.008779129757450573
0,8,0,0.009347756180054278
0,8,1,0.007973767716796528
0,8,2,0.007310935204483988
0,9,0,0.00759267194712537
0,9,1,0.0067285385005234595
0,9,2,0.0062451400241322124
0,10,0,0.006400228875855176
0,10,1,0.005824099224681915
0,10,2,0.005472313707713924
0,11,0,0.005568279580521708
0,11,1,0.005168686655862256
0,11,2,0.00491334246057225
0,12,0,0.004976139429329293
0,12,1,0.00469528465124131
0,12,2,0.004510544724620284
0,13,0,0.004553178234502317
0,13,1,0.004354961673570057
0,13,2,0.0
0,14,0,0.004277890105561268
0,14,1,0.0
0,14,2,0.0
0,15,0,0.0
0,15,1,0.0
0,15,2,0.0
0,16,0,0.0
0,16,1,0.0
0,16,2,0.0
0,17,0,0.0
0,17,1,0.0
0,17,2,0.0
1,0,0,-0.001915853352865736
1,0,1,-0.0023057386004235775
1,0,2,-0.002687808286540598
1,1,0,-0.0033139067982658555
1,1,1,-0.004799103952060487
1,1,2,-0.005833132853745651
1,2,0,-0.006159293209510732
1,2,1,-0.006503521529437503
1,2,2,-0.00631435076837501
1,3,0,-0.005816222912549831
1,3,1,-0.0018464541765008413
1,3,2,-0.0
1,4,0,-0.0026241482206557816
1,4,1,-0.0
1,4,2,-0.0
1,5,0,-0.0008101882977312295
1,5,1,-0.0
1,5,2,-0.0
1,6,0,-0.00025752821672506496
1,6,1,-0.0
1,6,2,-0.0
1,7,0,-9.791949652173026e-05
1,7,1,-0.0
1,7,2,-0.0
1,8,0,-4.08607970877795e-05
1,8,1,-0.0
1,8,2,-0.0
1,9,0,-1.7534040001784642e-05
1,9,1,-0.0
1,9,2,-0.0
1,10,0,-8.071155165611201e-06
1,10,1,-0.0
1,10,2,-0.0
1,11,0,-4.204837510399928e-06
1,11,1,-0.0
1,11,2,-0.0
1,12,0,-2.3084789765901443e-06
1,12,1,-0.0
1,12,2,-0.0
1,13,0,-1.299712034580098e-06
1,13,1,-0.0
1,13,2,0.0
1,14,0,-7.474023843410286e-07
1,14,1,0.0
1,14,2,0.0
1,15,0,0.0
1,15,1,0.0
1,15,2,0.0
1,16,0,0.0
1,16,1,0.0
1,16,2,0.0
1,17,0,0.0
1,17,1,0.0
1,17,2,0.0
2,0,0,-0.27501281035551256
2,0,1,-0.3216571569354661
2,0,2,-0.3550165397551167
2,1,0,-0.3924175970814271
2,1,1,-0.4558131643925699
2,1,2,-0.5006959495004754
2,2,0,-0.543819102408355
2,2,1,-0.6180055008895403
2,2,2,-0.6649528342991596
2,3,0,-0.6910697099367745
2,3,1,-0.7066441206619962
2,3,2,-0.7299231033602366
2,4,0,-0.7171198803816229
2,4,1,-0.72102687277897
2,4,2,-0.7477137670757308
2,5,0,-0.7133027447606318
2,5,1,-0.7185354723954046
2,5,2,-0.7296539437000027
2,6,0,-0.7102640987999752
2,6,1,-0.7120677076218977
2,6,2,-0.7160362957680069
2,7,0,-0.7068748984105311
2,7,1,-0.7081675650224288
2,7,2,-0.7121398147480414
2,8,0,-0.7090868479777269
2,8,1,-0.7183825766547165
2,8,2,-0.7285864920545726
2,9,0,-0.7298777702754488
2,9,1,-0.7398645412243696
2,9,2,-0.7435266196361713
2,10,0,-0.742217063277975
2,10,1,-0.7408807981883472
2,10,2,-0.7385615122610583
2,11,0,-0.736133063105111
2,11,1,-0.7312138036947997
2,11,2,-0.7274723790748572
2,12,0,-0.725073709557912
2,12,1,-0.7193946793919456
2,12,2,-0.7152859506295286
2,13,0,-0.7130497341385277
2,13,1,-0.7071636154939441
2,13,2,-0.7029222430233938
2,14,0,-0.1727722138360627
2,14,1,-0.7032065069315719
2,14,2,-0.7039818302814743
2,15,0,-0.6868173560071981
2,15,1,-0.6771984132633898
2,15,2,-0.670312077393428
2,16,0,-0.6676130087892508
2,16,1,-0.6584684292305655
2,16,2,-0.6519134959501635
2,17,0,-0.6493356641947761
2,17,1,-0.640612062515704
2,17,2,-0.6343512696138194
3,0,0,-0.1394659371824498
3,0,1,-0.16340949119034712
3,0,2,-0.1805734496263795
3,1,0,-0.1998184571872782
3,1,1,-0.23248300645049924
3,1,2,-0.25559724923255894
3,2,0,-0.27656464444301315
3,2,1,-0.31200253061971955
3,2,2,-0.33175943852961043
3,3,0,-0.3404521303177456
3,3,1,-0.32030397790879656
3,3,2,-0.3187857875158696
3,4,0,-0.33341958459914334
3,4,1,-0.3188940514644544
3,4,2,-0.3328842781697716
3,5,0,-0.32433377524965223
3,5,1,-0.3238595411297013
3,5,2,-0.331155119986488
3,6,0,-0.3251613316733545
3,6,1,-0.32750534077314253
3,6,2,-0.3320921410618198
3,7,0,-0.32983084724857337
3,7,1,-0.3350204110052518
