fe,t_h,mode,X_gDW_L,N_free_gN_L,G_g_L,F_g_L,E_g_L,O2_g_L,Prot_g_L,Carb_g_L,P_frac,C_frac,GAM_mmol_gDW,v_obj,v_ATPM,v_Prot,v_AA_leu,v_AA_met,v_AA_phe,v_AA_tyr,v_AA_val,v_Aroma_isoamyl,v_Aroma_isobutanol,v_Aroma_methionol,v_Aroma_pea,v_Aroma_tyrosol,AA_leu_mmol_L,AA_met_mmol_L,AA_phe_mmol_L,AA_tyr_mmol_L,AA_val_mmol_L
1,4.0,BIOMASS,0.7612904242980835,0.0606115230936029,108.75444491863608,109.36781410944795,0.8436576135038435,0.0,0.5605247738590133,0.2772500608305633,0.7362824435573614,0.3641843532790923,57.29759167974113,0.0786661838372697,0.7,0.07866618383726971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7160349425287357,0.9009905724880735,0.7160349425287357,0.7160349425287357,0.7184652661666797
2,8.0,BIOMASS,1.0830923050374626,0.04351304409149409,106.98520060329443,108.46679071129807,2.0789343816490318,0.0,0.9333103809140203,0.38997911267521446,0.8617089943056502,0.360060828482874,59.71155019884792,0.0786661838372697,0.7,0.07866618383726971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5129623919415909,0.8155778038275504,0.5129623919415909,0.5129623919415909,0.5147034586863356
3,12.0,BIOMASS,1.4875496348692654,0.017715730166580068,104.71631057442427,107.2551650203776,3.6647258728173675,0.0,1.3700372040555977,0.5307860461365538,0.9210026824926784,0.3568190490552622,61.15514091445629,0.0786661838372697,0.7,0.07866618383726971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3674826463317164,0.6108912311718527,0.3674826463317164,0.3674826463317164,0.3687299342905416
4,16.0,BIOMASS,1.7761744094740772,0.00041467071761904406,103.38414943538658,105.89806413156015,4.885479215053546,0.0,1.5834447018189517,0.6260785363389926,0.8914916763651648,0.3524870829122989,60.28474748961687,0.0786661838372697,0.7,0.07866618383726971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2632619807542115,0.4376381773372478,0.2632619807542115,0.2632619807542115,0.2641555290670067
5,20.0,BIOMASS,1.8586691924691177,0.0,103.3583966549741,104.7882531221138,5.421255534083492,0.0,1.4867440946352315,0.6439209921664114,0.7998970987732311,0.34644195684494317,58.521918889428704,0.0786661838372697,0.7,0.07866618383726971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18859902964797257,0.3135209092716359,0.18859902964797257,0.18859902964797257,0.18923916136867894
6,24.0,BIOMASS,1.9181840105140693,0.0,103.34106901627798,103.84377354137168,5.881486871889382,0.0,1.3714715515410079,0.6529858125427779,0.7149843518784501,0.34041875490755397,56.88768875613924,0.0786661838372697,0.7,0.07866618383726971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13511101710263881,0.22460417221499868,0.13511101710263881,0.13511101710263881,0.13556960296082557
7,28.0,BIOMASS,1.9645200389041422,0.0,103.32757835991825,102.99515940711322,6.298933100882075,0.0,1.2533232718539262,0.6570335279074396,0.6379793776769317,0.3344498986500281,55.40565156083759,0.0786661838372697,0.7,0.07866618383726971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09679258147077004,0.16090484776145264,0.09679258147077004,0.09679258147077004,0.09712110915113059
8,32.0,BIOMASS,2.0014382159285655,0.0,103.31682969506782,102.21430634244028,6.686325817092852,0.0,1.137871287254139,0.6575441556119916,0.5685268114690338,0.3285358250776303,54.06896795699808,0.0786661838372697,0.7,0.07866618383726971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0693415239458861,0.11527110016617642,0.0693415239458861,0.0693415239458861,0.06957687886326153
9,36.0,BIOMASS,2.0316329942061433,0.0,103.30803853640028,101.48274979263336,7.0533337059030785,0.0,1.0284758081574144,0.6555768880762207,0.5062311013310203,0.3226847023777472,52.87002515506093,0.0786661838372697,0.7,0.07866618383726971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049675779590504225,0.0825794046505036,0.049675779590504225,0.049675779590504225,0.04984438619641336
10,40.0,BIOMASS,2.0570348087378116,0.0,103.30064284102743,100.78498426628961,7.406381411202678,0.0,0.9269964017791632,0.651889465076195,0.4506469204320196,0.31690735728297753,51.80025239795157,0.0786661838372697,0.7,0.07866618383726971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035587378781148905,0.05915930413261203,0.035587378781148905,0.035587378781148905,0.03570816736663171
